_id,version,code,district_type_kh,district_type_en,name_en,reference,issued_date,prefix,name,city_provinces,createdAt,updatedAt,__v,note
1202,1,1202,ខណ្ឌ,Khan,Doun Penh,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,203,ដូនពេញ,12,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,
1206,1,1206,ខណ្ឌ,Khan,Mean Chey,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,203,មានជ័យ,12,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,
607,1,607,ស្រុក,District,Santuk,លេខប្រកាស ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,សន្ទុក,6,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,
508,1,508,ស្រុក,District,Thpong,លេខ​៤៩៣​ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ថ្ពង,5,2020-09-07 01:59:43.400,2020-09-07 01:59:43.400,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
901,1,901,ស្រុក,District,Botum Sakor,ប្រកាសលេខ ៤៩៣ ប្រ.ក របស់ក្រសួងមហាផ្ទៃ,2001-04-29T17:00:00.000+0000,202,បុទុមសាគរ,9,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,
906,1,906,ស្រុក,District,Srae Ambel,ប្រកាសលេខ​ ៤៩៣ ប្រ.ក  របស់ក្រសួងមហាផ្ទៃ,2001-04-29T17:00:00.000+0000,202,ស្រែ អំបិល,9,2020-09-07 01:59:43.400,2020-09-07 01:59:43.400,0,
704,1,704,ស្រុក,District,Chum Kiri,ប្រកាសលេខ​ ៤៩៣​ ប្រ.ក របស់ក្រសួងមហាផ្ទៃ,2001-04-28T17:00:00.000+0000,202,ជុំគិរី,7,2020-09-07 01:59:43.400,2020-09-07 01:59:43.400,0,
1502,1,1502,ស្រុក,District,Kandieng,លេខ​៤៩៣​ប្រ.ក,2001-04-29T17:00:00.000+0000,202,កណ្ដៀង,15,2020-09-07 01:59:43.395,2020-09-07 01:59:43.395,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
1701,1,1701,ស្រុក,District,Angkor Chum,,,202,អង្គរជុំ,17,2020-09-07 01:59:43.398,2020-09-07 01:59:43.398,0,
2108,1,2108,ក្រុង,Municipality,Doun Kaev,២២៦ អនក្រ.បក,2008-12-29T17:00:00.000+0000,201,ដូនកែវ,21,2020-09-07 01:59:43.398,2020-09-07 01:59:43.398,0,កាលពីមុនជាស្រុកដូនកែវតាមប្រកាសលេខ ៤៩៣ ប្រ.ក ចុះថ្ងៃទី៣០ ខែមេសា ឆ្នាំ២០០១​ របស់ក្រសួងមហាផ្ទៃ បច្ចុន្បន្នជាក្រុងដូនកែវតាមអនុក្រឹតលេខ ២២៦ អនក្រ.បក ចុះថ្ងៃទី៣០ ខែធ្នូ ឆ្នាំ២០០៨។
1401,1,1401,ស្រុក,District,Ba Phnum,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,បាភ្នំ,14,2020-09-07 01:59:43.395,2020-09-07 01:59:43.395,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃលេខ​ ៤៩៣​ ប្រ.ក​ចុះថ្ងៃទី៣០ ​ខែមេសា​ឆ្នាំ២០០១
1307,1,1307,ស្រុក,District,Tbaeng Mean Chey,លេខប្រកាស ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ត្បែងមានជ័យ,13,2020-09-07 01:59:43.397,2020-09-07 01:59:43.397,0,
1003,1,1003,ស្រុក,District,Prek Prasab,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ព្រែកប្រសព្វ,10,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,
1709,1,1709,ស្រុក,District,Prasat Bakong,,,202,ប្រាសាទបាគង,17,2020-09-07 01:59:43.397,2020-09-07 01:59:43.397,0,
1208,1,1208,ខណ្ឌ,Khan,Saensokh,អនុក្រឹត្យលេខ០៣ អនក្រ.បក,2009-01-08T17:00:00.000+0000,203,សែនសុខ,12,2020-09-07 01:59:43.395,2020-09-07 01:59:43.395,0,
1001,1,1001,ស្រុក,District,Chhloung,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ឆ្លូង,10,2020-09-07 01:59:43.397,2020-09-07 01:59:43.397,0,
302,1,302,ស្រុក,District,Chamkar Leu,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ចំការលើ,3,2020-09-07 01:59:43.395,2020-09-07 01:59:43.395,0,
1606,1,1606,ស្រុក,District,Ou Chum,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,អូរជុំ,16,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,
1607,1,1607,ស្រុក,District,Ou Ya Dav,ប្រកាសលេខ ៤៩៣ ប្រ.ក,2001-04-29T17:00:00.000+0000,202,អូរយ៉ាដាវ,16,2020-09-07 01:59:43.396,2020-09-07 01:59:43.396,0,
202,1,202,ស្រុក,District,Thma Koul,លេខ​៤៩៣ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ថ្មគោល,2,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
503,1,503,ស្រុក,District,Kong Pisei,លេខ​៤៩៣​ប្រ.ក,2001-04-29T17:00:00.000+0000,202,គងពិសី,5,2020-09-07 01:59:43.400,2020-09-07 01:59:43.400,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
102,1,102,ស្រុក,District,Mongkol Borei,ប្រកាសលេខ ៤៩៣ប្រ.ក,2001-04-29T17:00:00.000+0000,202,មង្គលបូរី,1,2020-09-07 01:59:43.400,2020-09-07 01:59:43.400,0,
103,1,103,ស្រុក,District,Phnum Srok,ប្រកាសលេខ ៤៩៣ប្រ.ក,2001-04-29T17:00:00.000+0000,202,ភ្នំស្រុក,1,2020-09-07 01:59:43.398,2020-09-07 01:59:43.398,0,
212,1,212,ស្រុក,District,Kamrieng,លេខ​៤៩៣​ប្រ.ក,2001-04-29T17:00:00.000+0000,202,កំរៀង,2,2020-09-07 01:59:43.399,2020-09-07 01:59:43.399,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
603,1,603,ក្រុង,Municipality,Stueng Saen,អនុក្រឹតលេខ ១៥ អនក្រ.បក,2009-01-08T17:00:00.000+0000,201,ស្ទឹងសែន,6,2020-09-07 01:59:43.400,2020-09-07 01:59:43.400,0,កាលពីមុនជាស្រុកស្ទឹងសែនតាមប្រកាសលេខ ៤៩៣ ប្រ.ក ចុះថ្ងៃទី៣០ ខែមេសា ឆ្នាំ២០០១​ របស់ក្រសួងមហាផ្ទៃ បច្ចុន្បន្នជាក្រុងស្ទឹងសែនតាមអនុក្រឹតលេខ ១៥ អនក្រ.បក ចុះថ្ងៃទី០៩ ខែមករា ឆ្នាំ២០០៩។
