_id,status,name,announce_level,description,short_description,thumbnail_image,creator_staffs,createdAt,updatedAt,__v,creator_schools
60dae06102c9e67053c05d5b,-9,Test,to_students,<p>Test</p>,Test,60dae06202c9e67053c05d5d,5ef5b3b8f911bc1f740eb16d,2021-06-29 08:57:06.138,2021-06-29 08:59:52.271,0,
613ec84f3cf8d7cb2fdcc8f5,-9,កិច្ចប្រជុំ អំពីវេបសាយទូរសិក្សា,to_all,<p>ទីតាំង: Googlemeet</p>,"ពេល: ថ្ងៃច័ន្ទ ទី១៣, ម៉ោង ១:០០ រសៀល
",613ec84f3cf8d7cb2fdcc8f7,5ef5b3b8f911bc1f740eb16d,2021-09-13 03:41:03.998,2021-09-13 11:28:16.175,0,
613eca5d146dc6b671b0a748,1,កិច្ចប្រជុំ អំពីវេបសាយទូរសិក្សា,to_all,<p>ទីតាំង: Googlemeet</p>,"ពេល: ថ្ងៃច័ន្ទ ទី១៣, ម៉ោង ១:០០ រសៀល
",613eca5d146dc6b671b0a74a,,2021-09-13 03:49:49.604,2021-09-13 03:49:49.604,0,613e06ae7353286552a0fc6d
