_id,level_types,status,other_images,name,school_type,create_date,thumbnail_image,description,address,createdAt,updatedAt,__v
6093b6caf37b7efe8424a474,"[ObjectId('5ef580924e0f101fc039453f'), ObjectId('5ef5807f4e0f101fc039453e'), ObjectId('5ef5809b4e0f101fc0394540')]",1,[],ក្រសួងអប់រំ,1,2021/03/01,,ចក្ខុវិស័យ​របស់​ក្រសួង​អប់រំ យុវជន និងកីឡា គឺ​កសាង និង​អភិវឌ្ឍ​ធនធាន​មនុស្ស​ប្រកប​ដោយ​គុណភាព និង​គុណធម៌​ប្រសើរ​បំផុត​លើ​គ្រប់​ផ្នែក ដើម្បី​កសាង​សង្គម​កម្ពុជា​ឱ្យ​ក្លាយទៅ​ជា​សង្គម​រីក​ចម្រើន​ផ្អែក​លើ​ចំណេះដឹង និង​ចំណេះ​ធ្វើ​ជា​មូលដ្ឋាន ។,"{'country': '', 'city_provinces': 12, 'districts': 1203, 'communes': 120305, 'detail': ''}",2021-05-06 09:28:42.954,2021-05-18 04:26:11.867,0
613e06ae7353286552a0fc6d,"[ObjectId('5ef5807f4e0f101fc039453e'), ObjectId('5ef5809b4e0f101fc0394540'), ObjectId('5ef580924e0f101fc039453f')]",-2,[],សាលារៀន សាកល្បង,-1,2021/09/12,,,"{'country': '', 'city_provinces': None, 'districts': None, 'communes': None, 'detail': ''}",2021-09-12 13:54:54.660,2021-09-20 08:15:44.653,0
