_id,list_no,districts,name,city_provinces,__v,createdAt,updatedAt,reference,status
60389ae534bbe619983cb3c0,1244,1506,អនុ.ថ្មដា,15,0,2021-02-26 06:53:25.864,2021-02-26 06:53:25.864,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb3c9,1253,1507,អនុវិ.រហាទិល,15,0,2021-02-26 06:53:25.864,2021-02-26 06:53:25.864,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb30d,1065,1308,អនុ.ហស.ត្បែង,13,0,2021-02-26 06:53:25.856,2021-02-26 06:53:25.856,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb2e7,1027,1303,វិ. ស្រអែម,13,0,2021-02-26 06:53:25.854,2021-02-26 06:53:25.854,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb2eb,1031,1303,អនុ. ខេមរៈតេជោ,13,0,2021-02-26 06:53:25.854,2021-02-26 06:53:25.854,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb317,1075,1401,អនុ. ឈើកាច់,14,0,2021-02-26 06:53:25.856,2021-02-26 06:53:25.856,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb34a,1126,1406,អនុ. កោះសំពៅ,14,0,2021-02-26 06:53:25.858,2021-02-26 06:53:25.858,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb2f1,1037,1304,វិ. គូលែន,13,0,2021-02-26 06:53:25.855,2021-02-26 06:53:25.855,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb3af,1227,1504,អនុ.សម្តេចឪ-ម៉ែ,15,0,2021-02-26 06:53:25.864,2021-02-26 06:53:25.864,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb375,1169,1413,អនុ. អង្គទ្រេត,14,0,2021-02-26 06:53:25.859,2021-02-26 06:53:25.859,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb3ee,1290,1702,អនុ.  អង្គរធំ,17,0,2021-02-26 06:53:25.866,2021-02-26 06:53:25.866,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb38f,1195,1501,វិ.អូរតាប៉ោង,15,0,2021-02-26 06:53:25.860,2021-02-26 06:53:25.860,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb48d,1449,1903,អនុ. សេរីទត្ត,19,0,2021-02-26 06:53:25.871,2021-02-26 06:53:25.871,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb42a,1350,1709,អនុ.តាប៉ាង,17,0,2021-02-26 06:53:25.867,2021-02-26 06:53:25.867,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb47c,1432,1901,វិ.សេសានសុវត្ថិភាព,19,0,2021-02-26 06:53:25.871,2021-02-26 06:53:25.871,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb539,1621,2107,អនុ. ថ្មដា,21,0,2021-02-26 06:53:25.878,2021-02-26 06:53:25.878,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb4b6,1490,2002,អនុ. ខ្សែត្រ,20,0,2021-02-26 06:53:25.873,2021-02-26 06:53:25.873,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb561,1661,2110,អនុ. ជួស,21,0,2021-02-26 06:53:25.879,2021-02-26 06:53:25.879,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb2be,986,1210,វិ.ជាស៊ីមជ្រោយចង្វារ,12,0,2021-02-26 06:53:25.853,2021-02-26 06:53:25.853,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb381,1181,1410,អនុ.បារាយណ៏,14,0,2021-02-26 06:53:25.860,2021-02-26 06:53:25.860,School list Khmer 2019-2020.xlsx,1.0
60389ae534bbe619983cb423,1343,1709,វិ.ស្នាតេជោ​ ៣១៧,17,0,2021-02-26 06:53:25.867,2021-02-26 06:53:25.867,School list Khmer 2019-2020.xlsx,1.0
