_id,what_you_learn,staffs_lecturers,course_contents,price,name,estimate_type,language,syllabus,visibility,resources,document_state,staffs_creator,schools,status,version,all_content_duration,createdAt,updatedAt,__v,education_levels,subjects,link_courses,description,keywords,trailer,enrolled_count,publish_date,categories,sub_categories,lecture_count,course_order,view_count
6098bb23ada1c61054ab9bb5,[],[ObjectId('6097d9a12f4c41131d66b8b3')],"[ObjectId('6098bc578c45ea1043180fb0'), ObjectId('6098bc7b4c30c0100b11391e')]",0,ជំពូកទី១ អេស្ទែ ខ្លាញ់ និងប្រេង,minute,ខ្មែរ,[],1,[],edit,6097d9a12f4c41131d66b8b3,6093b6caf37b7efe8424a474,-9,1,0,2021-05-10 04:48:35.924,2021-05-10 05:39:32.190,0,5ef6c8ff9fe01616bc0e30a0,60949f070e6d953e6c54725f,,Chemistry grade 12 ,"['Chemistry khmer 12', 'Ehtae', 'lipit', 'oil']",,,,,,,,
6098bda3a3d06d13536860c4,[],[],"[ObjectId('6098db8a3b9f07101f93724b'), ObjectId('6098db1ee67a671035d8ddc7'), ObjectId('6098c5e90a0ee610450373e0'), ObjectId('6098d7b684286213144b6d83'), ObjectId('60e009607c197c7027f273b4'), ObjectId('60e009607c197c7027f273b5'), ObjectId('6098bf0852c90013256ecda3'), ObjectId('6098bf3ab956201341738e2f'), ObjectId('60e009607c197c7027f273b3'), ObjectId('6098c7d084286213144b4545'), ObjectId('6098ca55b956201341738e35'), ObjectId('6098cd4de67a671035d8c0b0'), ObjectId('6098c489a3d06d13536860c8'), ObjectId('6098d208d94610c6634ed98e'), ObjectId('6098d57aa6240712fd2b8ade')]",0,ជំពូកទី៣ អគ្គិសនី,hour,ខ្មែរ,[],1,"[{'_id': ObjectId('60e0095946066b1d36fe2d22'), 'name': 'សៀវភៅពុម្ព-ជំពូកទី៣.pdf', 'content_type': 'file', 'content_data': '60e0095946066b1d36fe2d22'}, {'_id': ObjectId('60e0095cf4da837019f1ec67'), 'name': 'ឯកសារ-ជំពូកទី៣ (សំនួរ-ចម្លើយ).pdf', 'content_type': 'file', 'content_data': '60e0095cf4da837019f1ec67'}]",live,6094f9050b00416b02e98fb8,6093b6caf37b7efe8424a474,1,1,15243,2021-05-10 04:59:15.714,2021-09-24 09:31:56.476,0,5ef6c8dc9fe01616bc0e309d,60949eea0e6d953e6c54719f,,,"['រូបវិទ្យាទី៩', 'Physics grade 9', 'រូបវិទ្យា', 'physic grade 9', 'physics', 'រូបវិទ្យាអគ្គិសនី', 'អគ្គិសនី']",{},5.0,2021-05-10 08:23:23.054,6127ad3621fd3e19383466f7,612ddf76f20fbd4b4c2ef742,10.0,,77.0
6098c42badadc310362e4148,[],[ObjectId('6097d9dfa33c5c13108d7100')],"[ObjectId('6098c5c02f4c41131d66b8c5'), ObjectId('6098cd1dada1c61054aba5d9'), ObjectId('6098cfb5d94610c6634ed98a'), ObjectId('6098d0a7a3d06d13536860cd'), ObjectId('6098d13a5836b51311fe322a'), ObjectId('6098d1c7572591105f05086c'), ObjectId('6098d2de448e2a100ccc2cb7')]",0,ជំពូកទី៥: សមីការឌីផេរ៉ង់ស្យែល,hour,ខ្មែរ,[],1,[],live,6097d9dfa33c5c13108d7100,6093b6caf37b7efe8424a474,-2,1,8256,2021-05-10 05:27:07.378,2021-05-13 08:25:54.866,0,5ef6c8ff9fe01616bc0e30a0,6098ca41dfd028e10694b805,,Mathematics Grade 12,"['Mathematics Grade 12', 'Math Grade 12', 'សមីការឌីផេរ៉ង់ស្យែល', 'គណិតវិទ្យាថ្នាក់ទី ១២\u200bកម្រិតខ្ពស់', 'Differential Equation']",,8.0,2021-05-10 06:36:12.039,6127ad3621fd3e19383466f7,612ddf76f20fbd4b4c2ef742,5.0,,
6098c42ea6240712fd2b7a7b,[],[],"[ObjectId('6098c4d744f6bf1049971ed7'), ObjectId('6098d9e0a3d06d1353686a90'), ObjectId('6098e624b956201341738e49'), ObjectId('6098e69b23a6ae1348ac2ec3'), ObjectId('6098c9aa84286213144b4547'), ObjectId('6098ee6c01c156105d56a590'), ObjectId('6098d53484286213144b5df0'), ObjectId('6098c9be84286213144b4548'), ObjectId('6098c7496178631326a3f63d'), ObjectId('6098cdbd44f6bf1049971edc'), ObjectId('6098f801e67a671035d8ec47'), ObjectId('6098d77a1fba0a102fa4a982'), ObjectId('6098f687e556581039223f90'), ObjectId('6098cdb460c9d01330ba5585'), ObjectId('6098f45f1fba0a102fa4c4c5'), ObjectId('6098f150572591105f050883'), ObjectId('6098d75c3b9f07101f937243'), ObjectId('6098c4ff84286213144b4543')]",0,ជំពូកទី៤ អេឡិចត្រូម៉ាញេទិច,hour,ខ្មែរ,[],1,"[{'_id': ObjectId('60e009757c197c7027f273b9'), 'name': 'សៀវភៅពុម្ព-ជំពូកទី៤.pdf', 'content_type': 'file', 'content_data': '60e009757c197c7027f273b9'}, {'_id': ObjectId('60e0097b3bcc2f6f930d900b'), 'name': 'ឯកសារ-ជំពូកទី៤ (សំនួរ-ចម្លើយ).pdf', 'content_type': 'file', 'content_data': '60e0097b3bcc2f6f930d900b'}]",live,6094f9050b00416b02e98fb8,6093b6caf37b7efe8424a474,1,1,23757,2021-05-10 05:27:10.933,2021-09-26 10:38:24.057,0,5ef6c8dc9fe01616bc0e309d,60949eea0e6d953e6c54719f,,,"['រូប', 'រូបវិទ្យាថ្នាក់ទី៩', 'រូបវិទ្យា', 'Physics grade 9', 'Physics', 'អេឡិចត្រូម៉ាញេទិច', 'រូបវិទ្យាអេឡិចត្រូម៉ាញេទិច']",{},2.0,2021-05-10 09:32:40.140,6127ad3621fd3e19383466f7,612ddf76f20fbd4b4c2ef742,13.0,,80.0
6098c722e9db40107d742784,[],[ObjectId('6097d9a12f4c41131d66b8b3')],"[ObjectId('6098ca27beba6010775fe8b5'), ObjectId('6098ca4923a6ae1348ac2ea7')]",0,ជំពូកទី១៖ តារាងខួបនៃធាតុគីមី,minute,ខ្មែរ,[],1,[],live,6097d9a12f4c41131d66b8b3,6093b6caf37b7efe8424a474,-2,1,0,2021-05-10 05:39:46.944,2021-05-11 14:15:53.353,0,5ef6c8dc9fe01616bc0e309d,60949f070e6d953e6c54725f,,Chemistry grade 9,"['Chemistry Table', 'Chemistry grade 9', 'The periodic table']",,1.0,2021-05-10 06:04:05.101,6127ad3621fd3e19383466f7,612ddf76f20fbd4b4c2ef742,1.0,,
6098c81552c90013256ee885,[],[],"[ObjectId('6098cce3beba6010775fe8b7'), ObjectId('6098f1a223a6ae1348ac2ece'), ObjectId('6098c8e11e4b5a12ff6bf42e'), ObjectId('6098d64560c9d01330ba6e9e'), ObjectId('6098d92852ca27131ecd1ab3'), ObjectId('6098fbc823a6ae1348ac3a59'), ObjectId('6098fec216621bd0e1d5b248'), ObjectId('6098f71ea33c5c13108d8ef5'), ObjectId('6098c923d94610c6634ed987'), ObjectId('6098dbc22f4c41131d66b8d5'), ObjectId('6098ef8123a6ae1348ac2ec4'), ObjectId('60990032d94610c6634ee634'), ObjectId('6098fdd43b9f07101f937f33'), ObjectId('60990237e9db40107d7448c2'), ObjectId('6098f51da33c5c13108d8ef4'), ObjectId('6098d4893b9f07101f937240'), ObjectId('6098dc3260c9d01330ba6eac'), ObjectId('6098f86b16621bd0e1d5a23c'), ObjectId('60e009cb7c197c7027f273ce'), ObjectId('6098f73552dcf0c4bee728f6'), ObjectId('60e009cb7c197c7027f273cd'), ObjectId('6098fa8544f6bf1049976868'), ObjectId('6099019d52c90013256f1ab9'), ObjectId('6098fee552ca27131ecd24a3')]",0,ជំពូកទី៥ អុបទិច,hour,ខ្មែរ,[],1,"[{'_id': ObjectId('60e009a49db2961d1c6b61b3'), 'name': 'សៀវភៅពុម្ព-ជំពូកទី៥.pdf', 'content_type': 'file', 'content_data': '60e009a49db2961d1c6b61b3'}]",live,6094f9050b00416b02e98fb8,6093b6caf37b7efe8424a474,1,1,20076,2021-05-10 05:43:49.854,2021-09-24 12:55:34.507,0,5ef6c8dc9fe01616bc0e309d,60949eea0e6d953e6c54719f,,,"['រូបវិទ្យាថ្នាក់ទី៩', 'រូបវិទ្យា', 'រូបវិទ្យាអុបទិច', 'Physics grade 9', 'Physics', 'អុបទិច', 'រូបវិទ្យាអុបទិច']",{},1.0,2021-05-11 07:34:38.290,6127ad3621fd3e19383466f7,612ddf76f20fbd4b4c2ef742,18.0,,30.0
6098cacf1e4b5a12ff6bf430,[],[],[],0,,hour,,[],1,[],edit,6093b6caf37b7efe8424a477,6093b6caf37b7efe8424a474,-9,1,0,2021-05-10 05:55:27.680,2021-05-10 08:35:56.087,0,5ef6c8ff9fe01616bc0e30a0,,,,,,,,,,,,
6098ce44d94610c6634ed989,[],[ObjectId('6097d9a12f4c41131d66b8b3')],"[ObjectId('6098d097beba6010775fe8b8'), ObjectId('6098d0c8e67a671035d8cdbc'), ObjectId('6098d3a5d94610c6634ed98f'), ObjectId('6098d4f452dcf0c4bee71c0b')]",0,ជំពូកទី១៖ តារាងខួបនៃធាតុគីមី,minute,ខ្មែរ,[],1,[],live,6097d9a12f4c41131d66b8b3,6093b6caf37b7efe8424a474,-2,1,3254,2021-05-10 06:10:12.908,2021-05-11 14:16:05.773,0,5ef6c8dc9fe01616bc0e309d,60949f070e6d953e6c54725f,,"
Chapter1: Periodic table of elements","['Chemistry grade 9', 'Periodic table of elements', 'Chemistry table']",,0.0,2021-05-10 06:52:26.391,6127ad3621fd3e19383466f7,612ddf76f20fbd4b4c2ef742,3.0,,
6098d49e01c156105d56a586,[],[],"[ObjectId('6098d751b956201341738e42'), ObjectId('609a6333d5c7ff20b23feea0'), ObjectId('6099416960c9d01330ba8871'), ObjectId('6098d59723a6ae1348ac2eb5'), ObjectId('6098d93de9db40107d742799'), ObjectId('6099410b52ca27131ecd24b8'), ObjectId('609a5c28759b4720d1ecf3e7'), ObjectId('6098dff1a6240712fd2b8ae8'), ObjectId('609a6b705436ed23b6c7e3c7'), ObjectId('609a592749865223af428b75'), ObjectId('6099528152ca27131ecd24bd'), ObjectId('6098da6f3b9f07101f937249'), ObjectId('6098dd5c52dcf0c4bee71c13'), ObjectId('609a6006dc5f852209987b02'), ObjectId('6098d5822f4c41131d66b8cd'), ObjectId('609a7dd27a0916221d3dbb44'), ObjectId('609a65b0548b71237e9db4a2')]",0,ជំពូកទី៦ កោនិក ,hour,ខ្មែរ,[],1,"[{'_id': ObjectId('60dfcedb43d4546d66600073'), 'name': 'សៀវភៅពុម្ព-ជំពូកទី៦.pdf', 'content_type': 'file', 'content_data': '60dfcedb43d4546d66600073'}, {'_id': ObjectId('60dfcee17badc46d4f60ffb2'), 'name': 'ឯកសារ-មេរៀនទី១  (សំនួរ-ចម្លើយ).pdf', 'content_type': 'file', 'content_data': '60dfcee17badc46d4f60ffb2'}, {'_id': ObjectId('60dfceebf8eb5b7033e03afe'), 'name': 'ឯកសារ-មេរៀនទី២  (សំនួរ-ចម្លើយ).pdf', 'content_type': 'file', 'content_data': '60dfceebf8eb5b7033e03afe'}, {'_id': ObjectId('60dfcefc387fdc1d453ace2b'), 'name': 'ឯកសារ-មេរៀនទី៣  (សំនួរ-ចម្លើយ).pdf', 'content_type': 'file', 'content_data': '60dfcefc387fdc1d453ace2b'}]",live,6097d9dfa33c5c13108d7100,6093b6caf37b7efe8424a474,1,1,28847,2021-05-10 06:37:18.640,2021-09-25 03:03:25.917,0,5ef6c8ff9fe01616bc0e30a0,60949f240e6d953e6c54731c,, ,"['Mathematics Grade 12', 'Math Grade 12', 'ថ្នាក់ទី១២\u200b: កោនិក', 'ជំពូកទី៦: កោនិក']",{},5.0,2021-05-11 15:32:36.038,6127ad3621fd3e19383466f7,612ddf76f20fbd4b4c2ef742,14.0,,40.0
6098d59998a1111330b7587f,[],[],"[ObjectId('6098f20044f6bf1049975802'), ObjectId('6098d98616621bd0e1d59542'), ObjectId('6098e5d101c156105d56a58f'), ObjectId('6098d9bba33c5c13108d8ee5')]",0,មេរៀនទី៨ ប្រូបាប,hour,ខ្មែរ,[],1,"[{'_id': ObjectId('60e00122f637806d3f072f60'), 'name': 'សៀវភៅពុម្ព-មេរៀនទី៨.pdf', 'content_type': 'file', 'content_data': '60e00122f637806d3f072f60'}, {'_id': ObjectId('60e00125f8eb5b7033e03c14'), 'name': 'ឯកសារ-មេរៀនទី៨  (សំនួរ-ចម្លើយ).pdf', 'content_type': 'file', 'content_data': '60e00125f8eb5b7033e03c14'}]",live,6094fa2942852e72de6d5658,6093b6caf37b7efe8424a474,1,1,1980,2021-05-10 06:41:29.555,2021-09-26 19:15:38.045,0,5ef6c8dc9fe01616bc0e309d,60949f240e6d953e6c54731c,,,"['ប្រូបាប', 'គណិតវិទ្យា ប្រូបាប', 'mathematic', 'math lesson 8', 'lesson 8 math']",{},1.0,2021-05-10 08:47:52.739,6127ad3621fd3e19383466f7,612ddf76f20fbd4b4c2ef742,3.0,2.0,37.0
