_id,course_contents,students,__v,createdAt,is_completed,quiz,status,updatedAt,to_resume,watch_duration
6098b961dfd028e10691084d,6098a72060c9d01330ba4b7e,6095728f83c32a0468b97de0,0,2021-05-10 04:41:05.603,True,[],1.0,2021-05-11 15:54:37.345,,
6098d8b4dfd028e1069f729c,6098cd1dada1c61054aba5d9,6098d8a0a33c5c13108d8ee0,0,2021-05-10 06:54:44.149,False,[],1.0,2021-05-10 12:21:24.149,5.0,1070.0
6098dad6dfd028e106a10d4c,6098c457d94610c6634eccae,6098dab798a1111330b7623c,0,2021-05-10 07:03:50.428,False,[],1.0,2021-05-10 08:35:11.122,270.0,270.0
60990190dfd028e106b94e32,6098da2fa6240712fd2b8ae6,6095728f83c32a0468b97de0,0,2021-05-10 09:49:04.862,False,[],1.0,2021-05-12 06:32:14.776,445.0,445.0
609901b9dfd028e106b9a00e,6098e61552c90013256ef255,6095728f83c32a0468b97de0,0,2021-05-10 09:49:45.143,False,[],1.0,2021-05-10 09:50:30.566,310.0,310.0
609901f4dfd028e106b9a245,6098ee9016621bd0e1d59543,6095728f83c32a0468b97de0,0,2021-05-10 09:50:44.360,False,[],1.0,2021-05-12 04:52:00.413,510.0,605.0
60990223dfd028e106b9a430,6098bf3ab956201341738e2f,6095728f83c32a0468b97de0,0,2021-05-10 09:51:31.524,False,[],1.0,2021-05-10 10:00:02.447,5.0,330.0
609902a5dfd028e106ba25f5,6098d57aa6240712fd2b8ade,6095728f83c32a0468b97de0,0,2021-05-10 09:53:41.360,False,[],1.0,2021-05-10 10:04:30.364,265.0,670.0
60990307dfd028e106ba7f96,6098ca55b956201341738e35,6095728f83c32a0468b97de0,0,2021-05-10 09:55:19.357,False,[],1.0,2021-05-10 09:55:19.357,5.0,5.0
6099030cdfd028e106ba87b5,6098cd4de67a671035d8c0b0,6095728f83c32a0468b97de0,0,2021-05-10 09:55:24.633,False,[],1.0,2021-05-10 09:55:52.102,605.0,605.0
6099075edfd028e106bc40d9,6098cd1dada1c61054aba5d9,6095728f83c32a0468b97de0,0,2021-05-10 10:13:50.446,False,[],1.0,2021-05-11 03:04:33.535,70.0,130.0
60992275dfd028e106c77c1d,6098da2fa6240712fd2b8ae6,6098d8a0a33c5c13108d8ee0,0,2021-05-10 12:09:25.000,False,[],1.0,2021-05-17 10:29:18.247,390.0,430.0
60994476dfd028e106cb07bc,6098ca4923a6ae1348ac2ea7,6098d8a0a33c5c13108d8ee0,0,2021-05-10 14:34:30.228,False,[],1.0,2021-05-10 14:34:55.223,30.0,30.0
6099f44bdfd028e106e008e5,6098cfb5d94610c6634ed98a,6095728f83c32a0468b97de0,0,2021-05-11 03:04:43.186,False,[],1.0,2021-05-11 14:23:33.634,2445.0,2445.0
6099fd68dfd028e106e87ae8,6099ed8324353d239ecdbf0a,6098d8a0a33c5c13108d8ee0,0,2021-05-11 03:43:36.757,False,[],1.0,2021-05-11 03:43:42.447,150.0,150.0
609a101fdfd028e106f6574d,6099ed8324353d239ecdbf0a,6098d70301c156105d56a587,0,2021-05-11 05:03:27.504,False,[],1.0,2021-05-11 05:03:27.504,5.0,5.0
609a1370dfd028e106f8323e,6098c457d94610c6634eccae,6095728f83c32a0468b97de0,0,2021-05-11 05:17:36.248,False,[],1.0,2021-05-11 05:17:36.248,5.0,5.0
609a1925dfd028e106fbd110,6099f6b6637a7e20c0d49613,6098dab798a1111330b7623c,0,2021-05-11 05:41:57.894,False,[],1.0,2021-05-11 05:43:07.913,75.0,75.0
