_id,status,createdAt,updatedAt,__v,staffs,courses,editing_courses
60aca2f5e51c25637caa8c3f,-9,2021-05-25 07:10:45.699,2021-05-25 07:10:45.699,0,,,
60aca2f5e51c25637caa8c4c,1,2021-05-25 07:10:45.895,2021-06-23 11:00:43.327,0,6093b6caf37b7efe8424a477,60a72301f27c21b06aefe0c0,60aca2f5e51c25637caa8c40
60acb8dbeacbe9656762d3c5,1,2021-05-25 08:44:11.354,2021-07-03 04:35:29.622,0,6094fa2942852e72de6d5658,609f70e177dc942215be2f3d,60acb8dbeacbe9656762d3be
60acb9d2b7e0ea67ef82fdc7,1,2021-05-25 08:48:18.377,2021-05-25 08:49:03.030,0,6094fa2942852e72de6d5658,609cd31477dc942215bdd914,60acb9d2b7e0ea67ef82fdbe
60acba3e50981f655f282d29,1,2021-05-25 08:50:06.372,2021-05-25 08:50:28.437,0,6094fa2942852e72de6d5658,609e22f877dc942215bdfe92,60acba3e50981f655f282d21
60acc87823255d6723b33eef,1,2021-05-25 09:50:48.110,2021-05-25 09:55:23.146,0,6094fa2942852e72de6d5658,609e41d90cc1f121195392d5,60acc87823255d6723b33ee4
60acd1a7b84b7b67b6b0f40b,1,2021-05-25 10:29:59.035,2021-05-25 10:30:15.862,0,6097d9dfa33c5c13108d7100,609cce6722aa5420dbc78ff3,60acd1a6b84b7b67b6b0f3f3
60b20b0f4bf0136387e17f9a,1,2021-05-29 09:36:15.026,2021-05-29 10:48:23.182,0,6094fa2942852e72de6d5658,609e41d90cc1f121195392d5,60b20b0e4bf0136387e17f92
60b20d57b7e0ea67ef82fdfa,1,2021-05-29 09:45:59.452,2021-06-03 04:46:49.871,0,6094fa2942852e72de6d5658,6098a809ada1c61054ab9baf,60b20d57b7e0ea67ef82fdf5
60b20feeda78e5633ecfed9d,1,2021-05-29 09:57:02.817,2021-05-29 10:45:16.622,0,6093b6caf37b7efe8424a477,609e3dab106a1dc387494cf9,60b20feeda78e5633ecfed95
60b99891f9db2367ffa7cad0,1,2021-06-04 03:05:53.328,2021-06-22 05:35:55.634,0,6094f9050b00416b02e98fb8,60a2129e4a40ebb39dad8565,60b99891f9db2367ffa7cac5
60b998a1fa91616568de9b1a,1,2021-06-04 03:06:09.182,2021-07-03 06:53:20.787,0,6094f9050b00416b02e98fb8,6098bda3a3d06d13536860c4,60b998a1fa91616568de9b0d
60cc96f265b882e577d5abb2,1,2021-06-18 12:52:02.769,2021-07-03 06:55:07.046,0,6094f9050b00416b02e98fb8,6098c81552c90013256ee885,60cc96f265b882e577d5ab9b
60cdb47b3ddad08ba4e4ebb3,1,2021-06-19 09:10:19.994,2021-06-19 11:22:07.010,0,6094f85442852e72de6d5654,6099ebb90da1ae20f6d45311,60cdb47b3ddad08ba4e4eba3
60cdb4cfebdc05e39ddee1f2,1,2021-06-19 09:11:43.406,2021-07-03 04:36:21.584,0,6094f85442852e72de6d5654,609a0c51fb46dc238dcfcb35,60cdb4cfebdc05e39ddee1e7
60cdb4db991c55e7a532e79d,1,2021-06-19 09:11:55.293,2021-06-19 11:46:34.422,0,6094f85442852e72de6d5654,609b43dccf3cb4223190ba2c,60cdb4db991c55e7a532e796
60cdb4e8ed8ee5e74ad57411,1,2021-06-19 09:12:08.710,2021-06-19 11:46:11.153,0,6094f85442852e72de6d5654,609b4db014dca82233ecbbb4,60cdb4e8ed8ee5e74ad57406
60cdb4fd93656ce7950a7076,1,2021-06-19 09:12:29.879,2021-06-19 11:18:30.249,0,6094f85442852e72de6d5654,609b4ec0dc5f8522099890f2,60cdb4fd93656ce7950a706d
60cde05a2547e4e7a43f969d,1,2021-06-19 12:17:30.902,2021-06-19 12:23:07.742,0,6094fa2942852e72de6d5658,60cddf063f8e8ee371d0788d,60cde05a2547e4e7a43f969a
60cded787504f5e57f68afec,1,2021-06-19 13:13:28.014,2021-07-03 06:52:50.552,0,6094f9050b00416b02e98fb8,60cc8d58a6b0f0e3790a0b56,60cded777504f5e57f68afd4
60ce27a136216de3836d934b,1,2021-06-19 17:21:37.245,2021-06-19 18:03:03.290,0,6097d9a12f4c41131d66b8b3,6098d8d2b956201341738e44,60ce27a136216de3836d9342
60ceebeca6b0f0e3790a5972,1,2021-06-20 07:19:08.999,2021-06-20 17:25:16.362,0,6097d9a12f4c41131d66b8b3,6098d8d2b956201341738e44,60ceebeca6b0f0e3790a5967
60ceec01a8b9a4e76c7bf356,1,2021-06-20 07:19:29.977,2021-06-20 09:33:16.914,0,6097d9a12f4c41131d66b8b3,6098fd51ada1c61054abb4ef,60ceec01a8b9a4e76c7bf341
60cef0710c4ed7e597414b79,1,2021-06-20 07:38:25.571,2021-06-20 09:50:59.677,0,6094fa2942852e72de6d5658,6099f5bca69ac0238c00a0f8,60cef0710c4ed7e597414b67
60cef09236216de3836d936b,1,2021-06-20 07:38:58.545,2021-07-03 06:06:50.003,0,6094fa2942852e72de6d5658,6099f8ab637a7e20c0d49614,60cef09236216de3836d935d
60cf19fbd47eb4e36bb39cb2,1,2021-06-20 10:35:39.664,2021-07-03 06:04:46.385,0,6094fa2942852e72de6d5658,60cef0b786997de78c67aabb,60cf19fbd47eb4e36bb39ca2
60d035190bf268e35dce9818,5,2021-06-21 06:43:37.935,2021-06-21 06:43:37.935,0,6094fa2942852e72de6d5658,60cc266ca6b0f0e37909fe8c,60d035190bf268e35dce9810
60d03729e66a9ee5ab3ffdbf,1,2021-06-21 06:52:25.376,2021-06-21 08:17:57.713,0,6093b6caf37b7efe8424a477,60ac8383ad913a6579b17ab9,60d03729e66a9ee5ab3ffdbc
60d0393f0bf268e35dce981e,1,2021-06-21 07:01:19.288,2021-06-21 08:17:07.273,0,6093b6caf37b7efe8424a477,60ac70acf97fe867c40671b9,60d0393f0bf268e35dce981a
60d03958e1a608e7869c21a3,1,2021-06-21 07:01:44.369,2021-06-21 08:17:43.983,0,6093b6caf37b7efe8424a477,60ac829197a82a6364e3eb17,60d03958e1a608e7869c219e
60d039853ddad08ba4e5c69b,1,2021-06-21 07:02:29.199,2021-06-21 08:24:32.200,0,6093b6caf37b7efe8424a477,60ac842fad913a6579b17aba,60d039853ddad08ba4e5c693
