_id,bucket_name,filename,filename_video,original_id,status,message,createdAt,updatedAt,__v,creating_at,processing_at,finished_at
61332b8db666974a81fb7dcf,file_course_datas,61332b8c1d18a399042aea9d_1630743437679.m3u8,61332b8c1d18a399042aea9d_1630743437606.m3u8,61332b8c1d18a399042aea9d,Success,Finished generate thumbnails,2021-09-04 08:17:17.682,2021-09-04 08:17:34.700,0,2021-09-04 08:17:17.680,2021-09-04 08:17:18.169,2021-09-04 08:17:34.693
61332bf13b70833adb74ad6a,file_course_datas,61332be542ae9ca2ee5d4b40_1630743537703.m3u8,61332be542ae9ca2ee5d4b40_1630743537604.m3u8,61332be542ae9ca2ee5d4b40,Success,Finished generate thumbnails,2021-09-04 08:18:57.712,2021-09-04 08:19:13.604,0,2021-09-04 08:18:57.704,2021-09-04 08:18:58.215,2021-09-04 08:19:13.596
61332c255ea79df834a27683,file_course_datas,61332c1fd795ec98d0244160_1630743589938.m3u8,61332c1fd795ec98d0244160_1630743589893.m3u8,61332c1fd795ec98d0244160,Success,Finished generate thumbnails,2021-09-04 08:19:49.946,2021-09-04 08:20:24.946,0,2021-09-04 08:19:49.939,2021-09-04 08:19:51.865,2021-09-04 08:20:24.938
61332c33a047714a7b55c989,file_course_datas,61332c31d5ca509cf4532f1c_1630743603137.m3u8,61332c31d5ca509cf4532f1c_1630743603075.m3u8,61332c31d5ca509cf4532f1c,Success,Finished generate thumbnails,2021-09-04 08:20:03.140,2021-09-04 08:20:18.752,0,2021-09-04 08:20:03.138,2021-09-04 08:20:03.724,2021-09-04 08:20:18.745
61332c6d5eaf0c3ae93902ab,file_course_datas,61332c6a747b8142c7cd68ea_1630743661053.m3u8,61332c6a747b8142c7cd68ea_1630743660991.m3u8,61332c6a747b8142c7cd68ea,Success,Finished generate thumbnails,2021-09-04 08:21:01.057,2021-09-04 08:21:21.510,0,2021-09-04 08:21:01.054,2021-09-04 08:21:01.720,2021-09-04 08:21:21.501
61332c96a74658f8248eb703,file_course_datas,61332c94eed6ba98c252106a_1630743702132.m3u8,61332c94eed6ba98c252106a_1630743702077.m3u8,61332c94eed6ba98c252106a,Success,Finished generate thumbnails,2021-09-04 08:21:42.134,2021-09-04 08:22:07.576,0,2021-09-04 08:21:42.133,2021-09-04 08:21:42.678,2021-09-04 08:22:07.568
61332cabfde1b14a6b1eab76,file_course_datas,61332ca9a5eee9a2beaee7ae_1630743723285.m3u8,61332ca9a5eee9a2beaee7ae_1630743723191.m3u8,61332ca9a5eee9a2beaee7ae,Success,Finished generate thumbnails,2021-09-04 08:22:03.293,2021-09-04 08:22:20.483,0,2021-09-04 08:22:03.286,2021-09-04 08:22:03.894,2021-09-04 08:22:20.475
61332caed9ded13adc09028a,file_course_datas,61332cacbd0aaa9cfb017837_1630743726130.m3u8,61332cacbd0aaa9cfb017837_1630743726052.m3u8,61332cacbd0aaa9cfb017837,Success,Finished generate thumbnails,2021-09-04 08:22:06.141,2021-09-04 08:22:29.291,0,2021-09-04 08:22:06.132,2021-09-04 08:22:06.584,2021-09-04 08:22:29.289
61332cd64afd74f835557fb8,file_course_datas,61332cd4a4acb342f72e9881_1630743766371.m3u8,61332cd4a4acb342f72e9881_1630743766319.m3u8,61332cd4a4acb342f72e9881,Success,Finished generate thumbnails,2021-09-04 08:22:46.379,2021-09-04 08:23:03.257,0,2021-09-04 08:22:46.373,2021-09-04 08:22:46.888,2021-09-04 08:23:03.254
61332ceb2d05af4a712394e5,file_course_datas,61332ce4d5ca509cf4533038_1630743787609.m3u8,61332ce4d5ca509cf4533038_1630743787508.m3u8,61332ce4d5ca509cf4533038,Success,Finished generate thumbnails,2021-09-04 08:23:07.616,2021-09-04 08:23:44.600,0,2021-09-04 08:23:07.610,2021-09-04 08:23:09.866,2021-09-04 08:23:44.592
