_id,action,bucket_name,file_id,createdAt,updatedAt,__v,response
6098b56f572591105f05085c,response,file_course_datas,6098b56d572591105f050827,2021-05-10 04:24:15.350,2021-05-10 04:24:15.350,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098b56d572591105f050827_1620620655319.m3u8"",""origin_id"":""6098b56d572591105f050827""}}"
6098b58b5836b51311fe3220,sending,file_course_datas,6098b58b5836b51311fe31ec,2021-05-10 04:24:43.892,2021-05-10 04:24:43.892,0,
6098b58c5836b51311fe3221,response,file_course_datas,6098b58b5836b51311fe31ec,2021-05-10 04:24:44.070,2021-05-10 04:24:44.070,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098b58b5836b51311fe31ec_1620620684031.m3u8"",""origin_id"":""6098b58b5836b51311fe31ec""}}"
6098b5a2e5565810392215cb,sending,file_course_datas,6098b5a1e556581039221597,2021-05-10 04:25:06.020,2021-05-10 04:25:06.020,0,
6098b5a2e5565810392215cc,response,file_course_datas,6098b5a1e556581039221597,2021-05-10 04:25:06.198,2021-05-10 04:25:06.198,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098b5a1e556581039221597_1620620706146.m3u8"",""origin_id"":""6098b5a1e556581039221597""}}"
6098bf346178631326a3f63a,sending,file_course_datas,6098bf256178631326a3e966,2021-05-10 05:05:56.335,2021-05-10 05:05:56.335,0,
6098bf346178631326a3f63b,response,file_course_datas,6098bf256178631326a3e966,2021-05-10 05:05:56.486,2021-05-10 05:05:56.486,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098bf256178631326a3e966_1620623156467.m3u8"",""origin_id"":""6098bf256178631326a3e966""}}"
6098c0b6e5565810392222a8,sending,file_course_datas,6098c0a8e5565810392215d4,2021-05-10 05:12:22.415,2021-05-10 05:12:22.415,0,
6098c0b6e5565810392222a9,response,file_course_datas,6098c0a8e5565810392215d4,2021-05-10 05:12:22.595,2021-05-10 05:12:22.595,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098c0a8e5565810392215d4_1620623542555.m3u8"",""origin_id"":""6098c0a8e5565810392215d4""}}"
6098c1af52c90013256ee87d,sending,file_course_datas,6098c19552c90013256ecda6,2021-05-10 05:16:31.375,2021-05-10 05:16:31.375,0,
6098c1af52c90013256ee87e,response,file_course_datas,6098c19552c90013256ecda6,2021-05-10 05:16:31.544,2021-05-10 05:16:31.544,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098c19552c90013256ecda6_1620623791502.m3u8"",""origin_id"":""6098c19552c90013256ecda6""}}"
6098c27cbeba6010775fe8ab,sending,file_course_datas,6098c26fbeba6010775fdbd7,2021-05-10 05:19:56.498,2021-05-10 05:19:56.498,0,
6098c27cbeba6010775fe8ac,response,file_course_datas,6098c26fbeba6010775fdbd7,2021-05-10 05:19:56.657,2021-05-10 05:19:56.657,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098c26fbeba6010775fdbd7_1620623996631.m3u8"",""origin_id"":""6098c26fbeba6010775fdbd7""}}"
6098c312e67a671035d8c0a6,sending,file_course_datas,6098c307e67a671035d8b6ab,2021-05-10 05:22:26.363,2021-05-10 05:22:26.363,0,
6098c312e67a671035d8c0a7,response,file_course_datas,6098c307e67a671035d8b6ab,2021-05-10 05:22:26.527,2021-05-10 05:22:26.527,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098c307e67a671035d8b6ab_1620624146503.m3u8"",""origin_id"":""6098c307e67a671035d8b6ab""}}"
6098c44a60c9d01330ba5581,sending,file_course_datas,6098c44060c9d01330ba4b86,2021-05-10 05:27:38.835,2021-05-10 05:27:38.835,0,
6098c44a60c9d01330ba5582,response,file_course_datas,6098c44060c9d01330ba4b86,2021-05-10 05:27:38.995,2021-05-10 05:27:38.995,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098c44060c9d01330ba4b86_1620624458960.m3u8"",""origin_id"":""6098c44060c9d01330ba4b86""}}"
6098c5db52dcf0c4bee707ab,sending,file_course_datas,6098c5d052dcf0c4bee6fe52,2021-05-10 05:34:19.795,2021-05-10 05:34:19.795,0,
6098c5db52dcf0c4bee707ac,response,file_course_datas,6098c5d052dcf0c4bee6fe52,2021-05-10 05:34:19.958,2021-05-10 05:34:19.958,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098c5d052dcf0c4bee6fe52_1620624859926.m3u8"",""origin_id"":""6098c5d052dcf0c4bee6fe52""}}"
6098c5dcd94610c6634ed984,sending,file_course_datas,6098c5cfd94610c6634eccb0,2021-05-10 05:34:20.890,2021-05-10 05:34:20.890,0,
6098c5ddd94610c6634ed985,response,file_course_datas,6098c5cfd94610c6634eccb0,2021-05-10 05:34:21.045,2021-05-10 05:34:21.045,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098c5cfd94610c6634eccb0_1620624861029.m3u8"",""origin_id"":""6098c5cfd94610c6634eccb0""}}"
6098c71552dcf0c4bee712ce,sending,file_course_datas,6098c70952dcf0c4bee707ae,2021-05-10 05:39:33.970,2021-05-10 05:39:33.970,0,
6098c71652dcf0c4bee712cf,response,file_course_datas,6098c70952dcf0c4bee707ae,2021-05-10 05:39:34.057,2021-05-10 05:39:34.057,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098c70952dcf0c4bee707ae_1620625174051.m3u8"",""origin_id"":""6098c70952dcf0c4bee707ae""}}"
6098c71701c156105d56a57d,sending,file_course_datas,6098c70201c156105d569478,2021-05-10 05:39:35.287,2021-05-10 05:39:35.287,0,
6098c71701c156105d56a57e,response,file_course_datas,6098c70201c156105d569478,2021-05-10 05:39:35.372,2021-05-10 05:39:35.372,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098c70201c156105d569478_1620625175361.m3u8"",""origin_id"":""6098c70201c156105d569478""}}"
6098c7603b9f07101f936e12,sending,file_course_datas,6098c7543b9f07101f93644b,2021-05-10 05:40:48.612,2021-05-10 05:40:48.612,0,
6098c7603b9f07101f936e13,response,file_course_datas,6098c7543b9f07101f93644b,2021-05-10 05:40:48.706,2021-05-10 05:40:48.706,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098c7543b9f07101f93644b_1620625248695.m3u8"",""origin_id"":""6098c7543b9f07101f93644b""}}"
6098c994ada1c61054aba5d2,sending,file_course_datas,6098c988ada1c61054ab9bc1,2021-05-10 05:50:12.905,2021-05-10 05:50:12.905,0,
6098c995ada1c61054aba5d3,response,file_course_datas,6098c988ada1c61054ab9bc1,2021-05-10 05:50:13.003,2021-05-10 05:50:13.003,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098c988ada1c61054ab9bc1_1620625812979.m3u8"",""origin_id"":""6098c988ada1c61054ab9bc1""}}"
6098c9a1a33c5c13108d8063,sending,file_course_datas,6098c98ea33c5c13108d7111,2021-05-10 05:50:25.247,2021-05-10 05:50:25.247,0,
6098c9a1a33c5c13108d8064,response,file_course_datas,6098c98ea33c5c13108d7111,2021-05-10 05:50:25.341,2021-05-10 05:50:25.341,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098c98ea33c5c13108d7111_1620625825330.m3u8"",""origin_id"":""6098c98ea33c5c13108d7111""}}"
6098cc98448e2a100ccc2cb2,sending,file_course_datas,6098cc7e448e2a100ccc1419,2021-05-10 06:03:04.519,2021-05-10 06:03:04.519,0,
6098cc98448e2a100ccc2cb3,response,file_course_datas,6098cc7e448e2a100ccc1419,2021-05-10 06:03:04.688,2021-05-10 06:03:04.688,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098cc7e448e2a100ccc1419_1620626584659.m3u8"",""origin_id"":""6098cc7e448e2a100ccc1419""}}"
6098ccdcadadc310362e5310,sending,file_course_datas,6098ccc9adadc310362e414e,2021-05-10 06:04:12.359,2021-05-10 06:04:12.359,0,
6098ccdcadadc310362e5311,response,file_course_datas,6098ccc9adadc310362e414e,2021-05-10 06:04:12.564,2021-05-10 06:04:12.564,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098ccc9adadc310362e414e_1620626652544.m3u8"",""origin_id"":""6098ccc9adadc310362e414e""}}"
6098cce152dcf0c4bee71c03,sending,file_course_datas,6098ccd752dcf0c4bee712d3,2021-05-10 06:04:18.008,2021-05-10 06:04:18.008,0,
6098cce252dcf0c4bee71c04,response,file_course_datas,6098ccd752dcf0c4bee712d3,2021-05-10 06:04:18.175,2021-05-10 06:04:18.175,0,"{""status"":1,""message"":""Success upload file for encoding video"",""data"":{""filename"":""6098ccd752dcf0c4bee712d3_1620626658133.m3u8"",""origin_id"":""6098ccd752dcf0c4bee712d3""}}"
6098cd80a6240712fd2b8ad7,sending,file_course_datas,6098cd70a6240712fd2b7a82,2021-05-10 06:06:56.831,2021-05-10 06:06:56.831,0,
