_id,status,sender_staffs,notification_type,message,receiver_students,announcements,__v,createdAt,updatedAt
60dae06202c9e67053c05d6b,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d4447feac6d6f0423c9243,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.126,2021-06-29 08:57:06.126
60dae06202c9e67053c05d89,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60a24aa402e2e9b08ea56453,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.130,2021-06-29 08:57:06.130
60dae06202c9e67053c05d7c,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60b70a79b7e0ea67ef830e62,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.128,2021-06-29 08:57:06.128
60dae06202c9e67053c05d83,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60ab63a63bef09b497396cfd,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.129,2021-07-09 17:41:36.475
60dae06202c9e67053c05d91,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,609ce9424042a820d2db051e,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.131,2021-06-29 08:57:06.131
60dae06202c9e67053c05d9a,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,6098dab798a1111330b7623c,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.131,2021-09-12 13:34:57.329
60dae06202c9e67053c05d98,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60992ae7e67a671035d8ec5e,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.131,2021-06-29 08:57:06.131
60dae06202c9e67053c05d7a,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60b735330fde2d6731eba576,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.128,2021-06-29 08:57:06.128
60dae06202c9e67053c05d70,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d324f612cae8e759e6654f,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.127,2021-06-29 08:57:06.127
60dae06202c9e67053c05d86,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60a5ba7a00afd4b3b5e56cbc,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.129,2021-06-29 08:57:06.129
60dae06202c9e67053c05d69,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60d4c914c20f0de793aa4259,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.126,2021-06-29 08:57:06.126
60dae06202c9e67053c05d81,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60aefa2d37fe2467bc0c793d,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.129,2021-06-29 08:57:06.129
60dae06202c9e67053c05d87,1,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,60a337779954d3b07aaecc8f,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.130,2021-06-29 08:57:06.130
60dae06202c9e67053c05d94,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,609c92c32addc520e61d2f28,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.131,2021-10-25 01:52:52.458
60dae06202c9e67053c05d9d,2,5ef5b3b8f911bc1f740eb16d,announcementPosted,posted a new announcement,6098d6f5a6240712fd2b8ae2,60dae06102c9e67053c05d5b,0,2021-06-29 08:57:06.132,2021-06-29 09:03:37.549
