_id,version,code,commune_type_kh,commune_type_en,name_en,reference,prefix,issued_date,name,districts,createdAt,updatedAt,__v,note
120205,1,120205,សង្កាត់,Sangkat,Phsar Kandal Ti Muoy,ប្រកាសលេខ ៤៩៣ ប្រ.ក,302,2001-04-29T17:00:00.000+0000,ផ្សារកណ្ដាលទី១,1202,2020-09-07 02:23:18.685,2020-09-07 02:23:18.685,0,
120508,1,120508,សង្កាត់,Sangkat,Prey Veaeng,ប្រកាសលេខ ៤៩៣ ប្រ.ក,302,2001-04-29T17:00:00.000+0000,ព្រៃវែង,1205,2020-09-07 02:23:18.684,2020-09-07 02:23:18.684,0,
130703,1,130703,ឃុំ,Commune,Chhean Mukh,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ឈានមុខ,1307,2020-09-07 02:23:18.685,2020-09-07 02:23:18.685,0,
130401,1,130401,ឃុំ,Commune,Kuleaen Tboung,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,គូលែនត្បូង,1304,2020-09-07 02:23:18.687,2020-09-07 02:23:18.687,0,
171004,1,171004,សង្កាត់,Sangkat,Sala Kamreuk,អនុក្រឹតលេខ ១៣ អនក្រ.បក,302,2009-01-08T17:00:00.000+0000,សាលាកំរើក,1710,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,ប្តូរពី Sala Kamraeuk ទៅ Sala Kamreuk
140708,1,140708,ឃុំ,Commune,Prey Kandieng,តាមប្រកាសលេខ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ព្រៃកណ្ដៀង,1407,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
210215,1,210215,ឃុំ,Commune,Trapeang Sab,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ត្រពាំងសាប,2102,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
171002,1,171002,សង្កាត់,Sangkat,Svay Dankum,អនុក្រឹតលេខ ១៣ អនក្រ.បក,302,2009-01-08T17:00:00.000+0000,ស្វាយដង្គំ,1710,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,
200504,1,200504,ឃុំ,Commune,Kampong Chamlang,តាមប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,កំពង់ចំឡង,2005,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
200203,1,200203,ឃុំ,Commune,Khsaetr,៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ខ្សែត្រ,2002,2020-09-07 02:23:18.690,2020-09-07 02:23:18.690,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
170605,1,170605,ឃុំ,Commune,Roung Kou,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,រោងគោ,1706,2020-09-07 02:23:18.690,2020-09-07 02:23:18.690,0,
250307,1,250307,ឃុំ,Commune,Kokir,Royal Degree 1445 on 31 Dec 2013 Move to Tboung Khmum,301,2013-12-30T17:00:00.000+0000,គគីរ,2503,2020-09-07 02:23:18.703,2020-09-07 02:23:18.703,0,Royal Degree 1445 on 31 Dec 2013 Move to Tboung Khmum
180501,1,180501,សង្កាត់,Sangkat,Kaoh Rung,"អនុក្រឹត្យលេខ ០២ អនក្រ.បក,អនុក្រឹត្យលេខ ០៧ អនក្រ.បក",302,2019-01-07T17:00:00.000+0000,កោះរ៉ុង,1805,2020-09-07 02:23:18.696,2020-09-07 02:23:18.696,0,កាត់ទៅក្រុងកោះរ៉ុង
150401,1,150401,ឃុំ,Commune,Bak Chenhchien,លេខ​៤៩៣​ប្រ.ក,301,2001-04-29T17:00:00.000+0000,បាក់ចិញ្ចៀន,1504,2020-09-07 02:23:18.699,2020-09-07 02:23:18.699,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
140401,1,140401,ឃុំ,Commune,Chong Ampil,៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ចុងអំពិល,1404,2020-09-07 02:23:18.700,2020-09-07 02:23:18.700,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃលេខ ៤៩៣ ប្រ.ក ចុះថ្ងៃទី៣០ ខែមេសា ឆ្នាំ២០០១
250302,1,250302,ឃុំ,Commune,Choam,Royal Degree 1445 on 31 Dec 2013 Move to Tboung Khmum,301,2013-12-30T17:00:00.000+0000,ជាំ,2503,2020-09-07 02:23:18.703,2020-09-07 02:23:18.703,0,Royal Degree 1445 on 31 Dec 2013 Move to Tboung Khmum
30207,1,30207,ឃុំ,Commune,Ta Ong,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,តាអុង,302,2020-09-07 02:23:18.704,2020-09-07 02:23:18.704,0,
150207,1,150207,ឃុំ,Commune,Svay Luong,លេខ​៤៩៣​ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ស្វាយលួង,1502,2020-09-07 02:23:18.704,2020-09-07 02:23:18.704,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
30206,1,30206,ឃុំ,Commune,Svay Teab,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ស្វាយទាប,302,2020-09-07 02:23:18.704,2020-09-07 02:23:18.704,0,
180104,1,180104,សង្កាត់,Sangkat,Buon,អនុក្រឹត្យលេខ ០៧ អនក្រ.បក,302,2009-01-08T17:00:00.000+0000,៤,1801,2020-09-07 02:23:18.693,2020-09-07 02:23:18.693,0,
200405,1,200405,ឃុំ,Commune,Chantrei,៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ចន្ដ្រី,2004,2020-09-07 02:23:18.698,2020-09-07 02:23:18.698,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
140408,1,140408,ឃុំ,Commune,Tnaot,តាមប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ត្នោត,1404,2020-09-07 02:23:18.700,2020-09-07 02:23:18.700,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃលេខ ៤៩៣ ប្រ.ក ចុះថ្ងៃទី៣០ ខែមេសា ឆ្នាំ២០០១
170106,1,170106,ឃុំ,Commune,Srae Khvav,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ស្រែខ្វាវ,1701,2020-09-07 02:23:18.700,2020-09-07 02:23:18.700,0,
100301,1,100301,ឃុំ,Commune,Chambâk,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ចំបក់,1003,2020-09-07 02:23:18.684,2020-09-07 02:23:18.684,0,
