_id,bucket_name,filename,original_id,encoder,protocol,status,message,createdAt,updatedAt,__v
6098a4a79ee5bc2c873b0440,file_course_datas,6098a49e946da8130d466d18_1620616351591.m3u8,6098a49e946da8130d466d18,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 03:12:39.473,2021-05-10 03:12:39.473,0
6098a79aa250862ca6fd43e5,file_course_datas,6098a76401c156105d569418_1620617061417.m3u8,6098a76401c156105d569418,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 03:25:14.659,2021-05-10 03:25:14.659,0
6098a83604a7312cbad6f01e,file_course_datas,6098a8018c45ea1043180f67_1620617218336.m3u8,6098a8018c45ea1043180f67,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 03:27:50.163,2021-05-10 03:27:50.163,0
6098b272672e7a2d06af6ec6,file_course_datas,6098b26f98a1111330b7583a_1620619889176.m3u8,6098b26f98a1111330b7583a,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 04:11:30.399,2021-05-10 04:11:30.399,0
6098b2795a31b22cae9a8938,file_course_datas,6098b04d448e2a100ccc06f5_1620619356251.m3u8,6098b04d448e2a100ccc06f5,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 04:11:37.542,2021-05-10 04:11:37.542,0
6098b29d8a89062ebb7fd52c,file_course_datas,6098b27e6178631326a3e92e_1620619902656.m3u8,6098b27e6178631326a3e92e,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 04:12:13.384,2021-05-10 04:12:13.384,0
6098b2aee640162e9ee4fc13,file_course_datas,6098b27e6178631326a3e92e_1620619902656.m3u8,6098b27e6178631326a3e92e,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 04:12:30.977,2021-05-10 04:12:30.977,0
6098b39257118c2d12a91cc1,file_course_datas,6098b38b01c156105d569467_1620620172228.m3u8,6098b38b01c156105d569467,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 04:16:18.372,2021-05-10 04:16:18.372,0
6098b3a2a283c72c8e3f7969,file_course_datas,6098b38b01c156105d569467_1620620172228.m3u8,6098b38b01c156105d569467,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 04:16:35.000,2021-05-10 04:16:35.000,0
6098b3af6cb4702c98155b47,file_course_datas,6098b3ac448e2a100ccc13cd_1620620204450.m3u8,6098b3ac448e2a100ccc13cd,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 04:16:47.776,2021-05-10 04:16:47.776,0
6098b3be3eb1e32cbefdea58,file_course_datas,6098b3bae9db40107d742734_1620620219041.m3u8,6098b3bae9db40107d742734,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 04:17:02.372,2021-05-10 04:17:02.372,0
6098b3fc03aed02d1597f98c,file_course_datas,6098b3dda6240712fd2b6da0_1620620266677.m3u8,6098b3dda6240712fd2b6da0,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 04:18:04.430,2021-05-10 04:18:04.430,0
6098b40e353a832eace17fde,file_course_datas,6098b40a448e2a100ccc13d9_1620620298903.m3u8,6098b40a448e2a100ccc13d9,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 04:18:22.519,2021-05-10 04:18:22.519,0
6098b574316c252c81462451,file_course_datas,6098b56d572591105f050827_1620620655319.m3u8,6098b56d572591105f050827,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 04:24:20.690,2021-05-10 04:24:20.690,0
6098b58ea875f22c97487ea0,file_course_datas,6098b58b5836b51311fe31ec_1620620684031.m3u8,6098b58b5836b51311fe31ec,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 04:24:46.726,2021-05-10 04:24:46.726,0
6098b5a4c1a5af2cb81df108,file_course_datas,6098b5a1e556581039221597_1620620706146.m3u8,6098b5a1e556581039221597,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 04:25:08.301,2021-05-10 04:25:08.301,0
6098bf7d30a62c2c930e629c,file_course_datas,6098bf256178631326a3e966_1620623156467.m3u8,6098bf256178631326a3e966,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 05:07:09.570,2021-05-10 05:07:09.570,0
6098c3434b3df82d05ca695c,file_course_datas,6098c307e67a671035d8b6ab_1620624146503.m3u8,6098c307e67a671035d8b6ab,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 05:23:15.945,2021-05-10 05:23:15.945,0
6098c6741780c12cc7face4a,file_course_datas,6098c0a8e5565810392215d4_1620623542555.m3u8,6098c0a8e5565810392215d4,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 05:36:52.833,2021-05-10 05:36:52.833,0
6098c99bf2bc3d2c7bd858da,file_course_datas,6098c26fbeba6010775fdbd7_1620623996631.m3u8,6098c26fbeba6010775fdbd7,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 05:50:19.833,2021-05-10 05:50:19.833,0
6098ca589ee5bc2c873b2c9b,file_course_datas,6098c5cfd94610c6634eccb0_1620624861029.m3u8,6098c5cfd94610c6634eccb0,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 05:53:28.411,2021-05-10 05:53:28.411,0
6098ca89a250862ca6fd70e9,file_course_datas,6098c44060c9d01330ba4b86_1620624458960.m3u8,6098c44060c9d01330ba4b86,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 05:54:17.513,2021-05-10 05:54:17.513,0
6098caf273bacc2d1f8c6f9c,file_course_datas,6098c19552c90013256ecda6_1620623791502.m3u8,6098c19552c90013256ecda6,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 05:56:02.611,2021-05-10 05:56:02.611,0
6098cbdc5a31b22cae9aac66,file_course_datas,6098c5d052dcf0c4bee6fe52_1620624859926.m3u8,6098c5d052dcf0c4bee6fe52,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 05:59:56.998,2021-05-10 05:59:56.998,0
6098cc8073bacc2d1f8c8614,file_course_datas,6098c70952dcf0c4bee707ae_1620625174051.m3u8,6098c70952dcf0c4bee707ae,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 06:02:40.016,2021-05-10 06:02:40.016,0
6098cd3aa250862ca6fd977e,file_course_datas,6098c7543b9f07101f93644b_1620625248695.m3u8,6098c7543b9f07101f93644b,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 06:05:46.559,2021-05-10 06:05:46.559,0
6098cd445a31b22cae9ac77c,file_course_datas,6098c988ada1c61054ab9bc1_1620625812979.m3u8,6098c988ada1c61054ab9bc1,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 06:05:56.664,2021-05-10 06:05:56.664,0
6098cd6e04a7312cbad72531,file_course_datas,6098c70201c156105d569478_1620625175361.m3u8,6098c70201c156105d569478,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 06:06:38.492,2021-05-10 06:06:38.492,0
6098ce9573bacc2d1f8ca620,file_course_datas,6098c98ea33c5c13108d7111_1620625825330.m3u8,6098c98ea33c5c13108d7111,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 06:11:33.533,2021-05-10 06:11:33.533,0
6098d46de640162e9ee4fc18,file_course_datas,6098d4104c30c0100b113931_1620628511639.m3u8,6098d4104c30c0100b113931,libx264,HLS_APPENDS,Stop Encoding,Success Stop encoding video,2021-05-10 06:36:29.597,2021-05-10 06:36:29.597,0
6098de4599375d2caa7a02d5,file_course_datas,6098ccd752dcf0c4bee712d3_1620626658133.m3u8,6098ccd752dcf0c4bee712d3,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 07:18:29.665,2021-05-10 07:18:29.665,0
6098de59adab112ca5b85b05,file_course_datas,6098ccc9adadc310362e414e_1620626652544.m3u8,6098ccc9adadc310362e414e,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 07:18:49.280,2021-05-10 07:18:49.280,0
6098df281780c12cc7fb0197,file_course_datas,6098cd70a6240712fd2b7a82_1620626816940.m3u8,6098cd70a6240712fd2b7a82,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 07:22:16.565,2021-05-10 07:22:16.565,0
6098dffa99375d2caa7a1deb,file_course_datas,6098cf91e67a671035d8c0b3_1620627362529.m3u8,6098cf91e67a671035d8c0b3,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 07:25:46.839,2021-05-10 07:25:46.839,0
6098e002adab112ca5b87558,file_course_datas,6098d02960c9d01330ba5587_1620627509692.m3u8,6098d02960c9d01330ba5587,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 07:25:54.775,2021-05-10 07:25:54.775,0
6098e04b30a62c2c930ea463,file_course_datas,6098cdc21fba0a102fa49b93_1620626889675.m3u8,6098cdc21fba0a102fa49b93,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 07:27:07.457,2021-05-10 07:27:07.457,0
6098e1467699b42cd880456b,file_course_datas,6098d1ab3b9f07101f936e1e_1620627888628.m3u8,6098d1ab3b9f07101f936e1e,libx264,HLS_APPENDS,Success,Success encoding video,2021-05-10 07:31:18.107,2021-05-10 07:31:18.107,0
